source_no,category,name_ko,romanization,desc_ko,name_en,desc_en,name_ja,desc_ja,name_zh_simp,desc_zh_simp,name_zh_trad,desc_zh_trad
11,밥 [Bap],김치김밥,Kimchigimbap,"흰밥을 소금과 참기름으로 간을 한 후, 김 위에 얇게 펴고, 단무지, 시금치나물, 달걀지단, 볶은 당근, 햄 등의 기본재료와 잘게 썬 김치를 넣어 같이 말아 한입 크기로 썰어 먹는 음식이다. ",Kimchi Gimbap,"Cooked short grain rice seasoned with salt and sesame oil, spread thinly over a sheet of seaweed, and rolled with a filling of various basic ingredients, such as danmuji (yellow pickled radish), parboiled and seasoned spinach, pan-fried and beaten julienned egg and carrot, and ham strips, with or without chopped kimchi. The gimbap roll is cut into bite-sized pieces before served.",キムチキンパプ,のりの上に塩とごま油で下味をつけたご飯を薄く広げ、たくあん、ほうれん草のナムル、細く切った卵焼き、炒めたにんじん、ハムなどの基本的な食材と細切りにしたキムチをのせて巻いたものを一口大に切って食べる。,辛奇紫菜卷饭,白米饭用食盐和香油调味后，薄薄地铺在紫菜上，然后加入腌萝卜、焯熟的菠菜、切成条的鸡蛋丝、炒胡萝卜丝、火腿等基本食材，再放入切碎的辛奇，卷成紫菜卷饭，切成一口大小吃即可。,辛奇紫菜捲飯,白米飯用食鹽和香油調味，並薄薄地鋪在紫菜上，然後加入醃蘿蔔、菠菜、蛋絲、炒胡蘿蔔、火腿等基本食材，再放入切碎的辛奇，卷成紫菜卷飯，切成一口大小吃即可。
12,밥 [Bap],김치볶음밥,Kimchibokkeumbap,"김치를 잘게 썰어 밥과 함께 프라이팬에 올린 뒤 볶은 음식이다. 식성에 따라 소고기나 돼지고기, 채소 등을 함께 넣고 볶아 먹는다.",Kimchi Fried Rice,"Rice fried with finelychopped kimchi. Beef, pork, onions, green onions, and other vegetables may be added according to taste.",キムチチャーハン,ご飯と細かく刻んだキムチをフライパンに入れて弱火で炒める。好みに合わせて牛肉や豚肉、野菜などを加える。,辛奇炒饭,将辛奇切碎并和米饭一起放在炒锅中用小火炒制而成，也可根据个人喜好加入牛肉或猪肉、蔬菜等其它材料。,辛奇炒飯,將辛奇切碎並和軟硬適中的米飯一起放入平底鍋裡炒製而成，可謂是簡單的特色飲食。還可按個人喜好加入牛肉或豬肉、各式各樣的蔬菜與雞蛋等。
13,밥 [Bap],깍두기볶음밥,Kkakdugibokkeumbap,"잘게 썬 깍두기를 밥과 함께 섞어 기름에 볶아 만든다. 깍두기 국물과 설탕, 간장, 고추장 등으로 간을 맞춘다. 잘게 썬 고기, 햄, 소시지 등을 볶아 섞기도 한다.",Diced Radish Kimchi Fried Rice,"fried rice with kkakdugi (cubed radish kimchi). It is seasoned with kkakdugi liquid, sugar, soy sauce, and gochujang (red chili paste). Chopped meat, ham, or sausage may also be added.",カクトゥギチャーハン,細かく刻んだカクトゥギとご飯を油で炒めたもの。カクトゥギの汁や砂糖、醤油、コチュジャンなどで味を付ける。小さく切った肉やハム、ソーセージなどを混ぜて炒めることもある。,萝卜块辛奇炒饭,将萝卜块辛奇切碎和米饭一起用油翻炒而成。用萝卜块辛奇的汤汁、白糖、酱油、辣椒酱等调味。也可以放入切碎的肉、火腿、香肠等食材一起翻炒。,蘿蔔塊辛奇炒飯,將蘿蔔塊辛奇切碎，和米飯一起用油翻炒。用蘿蔔塊辛奇的湯汁、糖、醬油、辣椒醬等調味。也可以放入切碎的肉、火腿、香腸等材料一起炒。
14,밥 [Bap],꼬마김밥,Kkomagimbap,"작은 크기로 자른 김 위에 밥을 펴 놓고 단무지, 햄, 시금치, 당근 등을 넣어 둘둘 말아 먹는 음식이다. 일반 김밥보다 작아 한입에 먹기 좋다.",Mini Gimbap,"This dish is made by cutting a sheet of seaweed into smaller pieces, spreading cooked rice thinly on the pieces, and then rolling it with a filling of various ingredients, such as danmuji (yellow pickled radish), ham strips, spinach, and carrot. It is smaller than usual-sized gimbap, being bite-sized, and easier to eat.",ミニキンパプ,一口大に切った海苔の上にご飯を薄くのばし、たくあん、ハム、ほうれん草、にんじんなどをのせて巻いたもの。一般的なキンパプより小さくて一口で食べられる。,迷你紫菜包饭,把米饭薄薄铺在切成小块的紫菜上，再放入黄萝卜条、火腿、菠菜、胡萝卜条等食材一起卷成圆筒状。比一般的紫菜包饭要小，适合一口吃下很方便。,迷你海苔飯捲,把米飯鋪在切成小塊的海苔上，和醃蘿蔔、火腿、菠菜、胡蘿蔔等材料一起卷成圓筒狀。比一般的海苔飯捲小，適合一口食用。
15,밥 [Bap],꼬막비빔밥,Kkomakbibimbap,손질한 꼬막과 고소하게 만든 간장 양념을 밥에 섞어 깻잎 등의 향신채소와 섞어 비벼 먹는 밥이다. 청양고추를 넣고 매콤하게 먹으면 더욱 맛있다.,Cockle Bibimbap,"This dish consists of cooked rice mixed with cleaned and cooked cockles, a savory sauce made with soy sauce, and condiment vegetables, such as perilla leaves. Cheongyang chili peppers may be added to make the dish spicy and give it a flavor boost.",ハイガイビビンバ,下処理したハイガイと風味豊かな醤油ベースのたれをご飯に加え、エゴマの葉などの野菜と混ぜ合わせて食べる料理。激辛唐辛子を加えて辛くして食べるのも美味しい｡,泥蚶拌饭,将收拾洗净的泥蚶和苏子叶等香辛蔬菜放入米饭，与醇香调味酱油搅拌即可。放入青阳辣椒辣增添辣味会更美味。,泥蚶拌飯,將收拾洗淨的泥蚶和與鮮香的調味醬油混合在米飯中，再加入紫蘇葉等香辛蔬菜拌勻即可。放入青陽辣椒提升辣味會更好吃。
16,밥 [Bap],낙지덮밥,Nakjideopbap,"팬에 기름을 두른 후 양파, 당근 등을 넣고 센 불에서 양념장과 함께 볶는다. 채소가 반쯤 익을 무렵 적당한 크기로 썬 낙지를 넣어 볶아 낸 다음 밥 위에 얹는다.",Stir-fried Octopus with Rice,This dish is made by stir-frying sliced onion and carrots along with sauce over high heat in an oiled pan. Bite-sized pieces of octopus are then added to the half-cooked vegetables. It is served with cooked rice.,テナガダコ丼,フライパンに油をひき、たまねぎや人参などを入れ、強火でヤンニョムジャン(たれ)と一緒に炒める。野菜に半分くらい火が通ったら、適当な大きさに切ったテナガダコを入れて炒め、それをご飯の上にのせて食べる。,章鱼盖饭,平底锅中倒入适量的油烧热，将洋葱、胡萝卜等蔬菜及调味酱放入锅内，大火翻炒至半熟后，倒入切成适当大小的章鱼继续翻炒，炒熟后放在米饭上面。,章魚蓋飯,在熱鍋裡放入章魚和各種蔬菜後，用辣味調味醬拌炒後，鋪在米飯上吃。
17,밥 [Bap],누룽지,Nurungji,"밥을 다 짓고 난 후 뜸을 조금 오래 들이면 솥 밑바닥에 밥이 눌어붙게 되는데 이것을 누룽지라 한다. 맛이 고소해 간식으로 먹기도 하고, 물을 붓고 끓여 숭늉으로 먹기도 한다.",Scorched Rice,The thin crust of overcooked rice left at the bottom of a heated rice pot. Its savory taste makes it ideal for a crispy snack or making rice tea(sungnyung).,おこげ湯,ご飯を炊いたあと、蒸らし時間を長くすると、釜の底におこげができる。香ばしい風味のおやつとして食べたり、水を入れて煮てスンニュンにして食べたりする。,锅巴粥,米饭蒸熟后多焖一会儿，锅底就会有一层紧贴着锅底的焦黄锅巴。锅巴的味道焦脆香酥，不仅可以当零食，而且还可以倒入清水加热做成锅巴汤。,鍋巴粥,用鍋煮飯時多燜一會兒，鍋底就會有一層緊貼在鍋底的焦黃「鍋巴」。不僅可以當零食，而且還可以倒入清水加熱做成鍋巴湯。
18,밥 [Bap],달걀볶음밥,Dalgyalbokkeumbap,쌀밥에 달걀을 풀어 넣고 기름에 볶아 만든 밥이다. 간장이나 소금으로 간을 맞추거나 후추와 참기름을 살짝 뿌려 먹기도 한다. 고소한 맛에 어린아이가 좋아한다.,Egg Fried Rice,"Fried rice with a beaten egg. It can be seasoned with soy sauce or salt, or sprinkled lightly with pepper and sesame oil. Children love the savory flavor.",卵チャーハン,ご飯に溶き卵を混ぜて油で炒めたもの。醤油や塩で味を調えたり、こしょうとごま油をさっとかけて食べたりもする。香ばしい味で子どもが大好きな食べ物。,蛋炒饭,将鸡蛋打入米饭中，用油翻炒而成。再加酱油或盐调味，也可根据个人喜好撒上少许的胡椒和香油。味道香醇，小朋友们很喜欢。,蛋炒飯,將雞蛋打入米飯中，用油邊攪邊炒而成。用醬油或鹽調味，也可根據個人喜好撒少許胡椒和香油。味道鮮香，很受兒童喜愛。
19,밥 [Bap],대나무통밥,Daenamutongbap,"찹쌀, 멥쌀, 콩, 밤, 대추, 은행, 잣 등을 대나무 통에 넣고 한지로 그 입구를 덮은 뒤 쪄낸 영양밥이다.",Steamed Rice in Bamboo Tube,"This is a nutritious dish of glutinous rice, plain short grain rice, beans, chestnuts, gingko nuts, and pine nuts, all steamed in a bamboo tube and covered with hanji (traditional Korean paper).",竹筒ご飯 ,もち米、白米、豆、栗、なつめ、銀杏、松の実などを竹筒に入れ、韓紙でふたをして蒸した栄養満点のご飯。,竹筒饭,把糯米、大米、黄豆、栗子、大枣、银杏、松仁等放入竹筒里，用韩纸盖住竹筒后蒸熟的营养饭。,竹筒飯,把糯米、大米、黃豆、栗子、大棗、銀杏、松仁等放入竹筒裡，用韓紙蓋住竹筒後蒸熟即可做成營養飯。
20,밥 [Bap],돌솥비빔밥,Dolsotbibimbap,뜨거운 돌솥에 밥을 담고 갖은 나물과 고기볶음을 얹은 뒤 고추장에 비벼 먹는 음식이다. 돌솥의 열기로 밥을 다 먹을 때까지 온도가 따뜻하게 유지된다.,Hot Stone Pot Bibimbap,"Bibimbap served in a sizzling hot stone pot. The crispy rice at the bottom, mixed with various toppings and gochujang, remains piping hot until the end of the meal.",石焼きビビンバ,熱い石釜にご飯、ナムル、炒めた肉をのせ、コチュジャンをからめて食べる。石釜の熱で最後までアツアツのご飯が食べられるのが特徴。,石锅拌饭,在加热的石锅中分别放入米饭、各种素菜和炒肉丝，用辣椒酱或酱油搅拌即可。石锅有良好的保温效果，可让人细嚼慢咽安心享用，不用担心饭菜变凉。,石鍋拌飯,石鍋拌飯是利用燒熱的石鍋做成的拌飯。在石鍋裡塗油後放入米飯再放上素菜，熱度可以保持到吃完為止是這道料理的特點。
21,밥 [Bap],돼지국밥,Dwaejigukbap,돼지 뼈로 진하게 우려낸 육수에 돼지 수육을 넣고 밥을 말아 먹는 음식이다. 고춧가루를 다진 양념과 새우젓을 넣어 간을 한 다음 부추김치와 깍두기를 얹어 먹는다.,Pork and Rice Soup,"This dish consists of a broth made by slowly boiling pig bones, bringing out a deep flavor, with rice and suyuk (boiled pork slices). It is served with a seasoning made with red chili powder and Saeujeot (salted shrimp), along with buchu kimchi (chive kimchi) and kkakdugi (diced radish kimchi).",豚肉クッパ,豚骨をじっくり煮込んだスープに豚のスユク(ゆで肉)とご飯を入れた料理。唐辛子の粉を加えたヤンニョムと小エビの塩辛を入れて味付けし、ニラキムチとカクテギをのせて食べる。,猪肉汤饭,用猪骨头熬出浓汤后放入白切肉泡米饭吃。加入辣椒粉调味酱和虾酱调节咸淡后，配着辣拌韭菜和萝卜块儿等小菜吃。,豬肉湯飯,在用豬骨熬成的濃湯中放入熟豬肉和蔬菜，加上辣味調料、蝦醬後吃的湯飯。
22,밥 [Bap],따로국밥,Ttarogukbap,국에 밥을 말지 않고 국과 밥을 따로내놓는다 해서 ‘따로국밥’이라 불려졌다. 12시간 이상 고아 낸 소뼈 국물에 얇게 썬 쇠고기와 건지를 넣고 각종 양념을 하여 끓여낸 국밥이다.,Rice and Soup,"Ttarogukbap is a bowl of soup (guk) served with a separate (ttaro) bowl of rice (bap), rather than with the rice placed in the soup. The soup is made by boiling beef slices with clotted cow’s blood and seasonings for about 12 hours.",タロクッパ,スープにご飯を入れずに別々に出すことから「タロ（別々）クッパ」と呼ばれるようになった。12時間以上煮込んだ牛骨スープに薄切りの牛肉と具材を入れ、薬味で味を調えて煮立たせたクッパ。,汤加饭,不同于汤泡饭，将汤和米饭分开上，因此叫汤加饭。精心熬煮十二个小时以上的牛骨汤里，加入切成薄片的牛肉和其它菜料，再放入各种调料调味即可。,湯加飯,因為湯和飯分開上桌，所以叫做「湯加飯」。熬煮12個小時以上的牛骨湯裡，放入牛肉與各種食材，以及調味料熬煮，這樣做出來的湯非常美味。
23,밥 [Bap],매운고추김밥,Maeungochugimbap,"잘게 다진 청양고추와 당근, 어묵 등을 팬에 볶아 속 재료를 만든다. 김 위에 밥을 펴 놓고 속 재료를 넣어 둘둘 말아 싸서 먹는 음식이다. 매콤하고 칼칼한 맛이 일품인 중독성 있는 음식이다.",Spicy Green Chili Pepper Gimbap,"This dish is made by pan-frying the ingredients of the filling, such as chopped Cheongyang chili pepper, carrot, and fishcake; spreading cooked rice on a sheet of seaweed; then rolling it with the filling. It is an addictive dish with a refreshingly spicy flavor.",辛味唐辛子キンパプ,激辛唐辛子のみじん切り、にんじん、練り物などをフライパンで炒めて具材を作る。海苔の上にご飯を薄くのばし、その具材をのせて巻いて食べる。ピリッとした辛味が魅力的でクセになる。,辣椒紫菜包饭,将切碎的青阳辣椒、胡萝卜、鱼糕等在平底锅中翻炒做成馅料。把米饭薄薄铺在紫菜上，再将备好的馅料放入其中卷成圆筒状。香辣鲜美的味道令人欲罢不能。,辣椒海苔飯捲,將切碎的青陽辣椒、胡蘿蔔、魚板等放在平底鍋中翻炒，做成餡料。把米飯鋪在海苔上，再放上備好的餡料卷成圓筒狀。味道香辣鮮美、令人欲罷不能。
24,밥 [Bap],멍게비빔밥,Meonggebibimbap,"그릇에 밥과 각종 나물, 고기, 달걀, 고추장 등을 넣고 비벼 먹는 비빔밥에 멍게를 넣은 밥이다. 멍게는 독특한 향과 달콤하면서 상큼한 맛을 지니고 있어 먹고 난 후에도 그 맛이 입 안에 감돈다.",Sea Pineapple Bibimbap,"This dish consists of cooked rice mixed with a variety of vegetables, beef, eggs, and gochujang in a bowl and topped with sea squirt. Sea squirt has a unique scent and sweet, refreshing flavor with a long aftertaste.",ホヤビビンバ,器にご飯とナムル各種、肉、卵、コチュジャンなどを入れて混ぜて食べるビビンバにホヤをのせたもの。ホヤには独特な香りと甘み、さわやかな味わいがあり、食べた後もその香りが口の中に残る。,海鞘拌饭,将米饭和各种素菜、肉、鸡蛋、辣椒酱放到一个大碗中，再加入海鞘拌着吃。海鞘有一种独特的香气，味道甘甜爽口，吃完后口齿留香，令人回味无穷。,海鞘拌飯,把米飯與各種涼拌菜、肉、雞蛋、辣醬拌勻，再放入海鞘拌著吃。海鞘具有非常獨特的香氣，口感香甜而清爽，吃完後仍有淡淡海鞘香縈繞在口腔裡。
25,밥 [Bap],메밀감자비빔밥,Memilgamjabibimbap,"메밀가루를 반죽해 프라이팬에 동그란 전병을 부친다. 밥에 양념장과 김치, 콩나물, 감자 등을 넣고 비빈 후 전병 위에 놓고 둘둘 말아 적당한 크기로 썬다.",Buckwheat and Potato Bibimbap,"To prepare this dish, cooked rice is mixed with kimchi, bean sprouts, and potatoes and seasoned with a sauce. It is then rolled up in a buckwheat pancake and served in slices.",そばとじゃがいものビビンバ,そば粉をこねて丸い形の皮を作ってフライパンで焼く。ご飯にヤンニョムジャンとキムチ、豆もやし、じゃがいもなどを入れて混ぜ、皮の上にのせて巻き、適当な大きさに切って食べる。,土豆拌饭荞麦卷饼,荞麦面和面，在平底锅中煎成圆形的煎饼。米饭中加入调味酱和辛奇、豆芽、土豆等进行搅拌，再将其放在煎饼上卷起来，切成适当的大小。,土豆拌飯蕎麥卷餅,把蕎麥面和好，用平底鍋煎成圓餅，米飯裡放入調味汁、辛奇、豆芽、土豆等拌勻後放在煎餅上面卷起來，再切成適當大小。
26,밥 [Bap],멸치김밥,Myeolchigimbap,"간장과 물엿을 넣고 조린 잔멸치와 다진 청양고추, 마요네즈 등을 넣은 김밥이다. 고추장, 고춧가루, 물엿을 넣고 칼칼하게 조린 잔멸치를 넣기도 한다.",Anchovy Gimbap,"Gimbap with a filling of baby anchovies braised in soy sauce and starch syrup, chopped Cheongyang chili pepper, and mayonnaise. The baby anchovies can be braised in a spicy sauce made with gochujang (red chili paste), red chili powder, and starch syrup.",ちりめんじゃこキンパプ,醤油と水あめを入れて煮付けたちりめんじゃこや、激辛唐辛子のみじん切り、マヨネーズなどを加えたキンパプ。ちりめんじゃこにコチュジャン、粉唐辛子、水あめを加え、辛めに煮付けたものを使うこともある。,鳀鱼紫菜包饭,放入酱油和糖稀炖制的小鳀鱼和剁碎的青阳辣椒、蛋黄酱等食材一起卷成的紫菜包饭。有时也会放入用辣椒酱、辣椒粉和糖稀炖制的香辣小鳀鱼。,鯷魚海苔飯捲,將用醬油、糖稀燉煮的小鯷魚和剁碎的青陽辣椒、 美乃滋一起卷成飯捲。也可放入用辣椒醬、辣椒粉和糖稀燉煮而成的辣味小鯷魚。
